No.,Age,Expedition,Location,Name,Year,Nationality,Cause.of.death,Year_descr,Num_Deaths_In_Yr
53,31,British Mount Everest Expedition,North-East Ridge (approx. 8200m), Peter Boardman,1982, United Kingdom, Disappearance (likely accidental death during climb),Before 2000,16
54,33,British Mount Everest Expedition,North-East Ridge (approx. 8200m), Joe Tasker,1982, United Kingdom, Disappearance (likely accidental death during climb),Before 2000,16
123,NA,South Korean expedition,8450m S.E. Ridge, A Jin-seob,1993, South Korea, Fall,Before 2000,8
206,NA,,8650m, Shinichi Ishii,2007, Japan, ,2000-2020,8
207,NA,,8300m, Libor Kozak,2007, Czech, ,2000-2020,8
209,46,Italian,N.E. Ridge, Maurizio Pierangelo,2007, Italy, ,2000-2020,8
210,37,South Korean,S.W. Face, Oh Hee-joon,2007, South Korea, ,2000-2020,8
211,34,,S.W. Face, Lee Hyun-jo,2007, South Korea, ,2000-2020,8
241,35,,8300m N.E. Ridge, Namgyal Sherpa,2013, Nepal, ,2000-2020,9
297,28,Seven Summit Treks,Camp 4, Ravi Thakar,2019, India, Altitude sickness,2000-2020,13
128,43,Italian Expedition,North Face, Giuseppe Vigani,1994, Italy, Fall,Before 2000,5
165,44,Polish International,N.E. Ridge, Tadeusz Kudelski,1999, Poland, Fall,Before 2000,6
166,29,Belgian International,N.E. Ridge, Pascal Debrouwer,1999, Belgium, Fall,Before 2000,6
181,38,South Korean,8500m N.E. Ridge, Joon-ho Baek,2004, South Korea, Exposure,2000-2020,9
182,28,South Korean,8500m N.E. Ridge, Min Jang,2004, South Korea, Exposure,2000-2020,9
183,36,South Korean,8500m N.E. Ridge, Mu-taek Park,2004, South Korea, Exposure,2000-2020,9
184,69,International,8600m S.E. Ridge, Nils Antezana,2004, United States, Exposure,2000-2020,9
214,47,Eco Everest Expedition,, Věslav Chrzaszcz,2009, Czech, Heart attack,2000-2020,5
291,41,7 Summits Club Expedition,8550m N.E. Ridge, Pasang Norbu Sherpa,2018, Nepal, Stroke,2000-2020,5
309,28,Climbing the Seven Summits,Between Camp I & Camp II, Pemba Tashi Sherpa,2021, Nepal, Fall into a crevasse,After 2020,4
143,NA,Austrian,"8300m North Face, Great Couloir", Reinhard Wlasich,1996, Austria, Altitude sickness,Before 2000,15
175,NA,Russian International,7800m N.E. Ridge, Zoran Miletić,2002, Yugoslavia, Exact cause and date of death unknown,2000-2020,3
202,38,Asian Trekking,"Camp III, 8200m N.E. Ridge", Vitor Negrete,2006, Brazil, Exposure and/or exhaustion,2000-2020,12
215,41,,8750m, Wenhong Wu,2009, China, Altitude sickness,2000-2020,5
218,56,,, Tom Jørgensen,2010, Denmark, HACE,2000-2020,4
230,33,Utmost Adventures,Below Balcony 8300m, Shriya Shah-Klorfine,2012, Canada, Exhaustion,2000-2020,13
231,61,Asian Trekking,Hillary Step, Eberhard Schaaf,2012, Germany, Cerebral oedema,2000-2020,13
232,44,Korean Everest & Lhotse Expedition,Balcony, Song Won-bin,2012, South Korea, Fall,2000-2020,13
279,25,,Near summit, Phurba Sherpa,2016, Nepal, Fall,2000-2020,7
48,31,Japanese Alpine Society Expedition,7900m North Face (Hornbein Couloir), Akira Ube,1980, Japan, Avalanche,Before 2000,3
113,NA,Indian expedition,, Deepak Kulkarni,1992, India, Exposure,Before 2000,6
114,NA,Indian expedition,, Raymond Jacob,1992, India, Exposure,Before 2000,6
189,39,Charity run with brother,5800m Icefall South, Michael Corey O'Brien[118],2005, United States, Fall into a crevasse,2000-2020,7
167,27,,N.E. Ridge, Jeppe Stoltz,2000, Denmark, Fall,Before 2000,2
185,27,Bulgarian,8600m N.E. Ridge, Hristo Ganchev Hristov,2004, Bulgaria, Exposure,2000-2020,9
186,63,Japanese,8600m N.E. Ridge, Shoko Ota,2004, Japan, Exposure,2000-2020,9
233,55,Mountain Experience,Balcony, Ha Wenyi,2012, China, Suspected altitude sickness,2000-2020,13
234,43,Himalayan Guides,8300m N.E. Ridge, Juan José Polo Carbayo,2012, Spain, Exhaustion,2000-2020,13
235,43,Monterosa,8300m N.E. Ridge, Ralf D. Arnold,2012, Germany, Exhaustion and related complications after breaking leg at Second Step,2000-2020,13
286,50,Everest Parivar Treks,Balcony, Roland Yearwood,2017, United States, Altitude sickness,2000-2020,5
292,63,Tim Mosedale Everest Expedition Spring 2018,Above Camp III, Gjeorgi Petkov,2018, North Macedonia, Cardiac arrest,2000-2020,5
86,45,,"Hornbein Couloir, Near Summit", Roger Marshall,1987, Canada, Disappearance (likely accidental death during descent),Before 2000,7
168,NA,Chinese,N.E. Ridge, Yan Genghua,2000, China," Disappeared after reaching the north summit; body found on May 27, 2000; likely accidental death during descent",Before 2000,2
190,45,,8600m N.E. Ridge, Marko Lihteneker,2005, Slovenia, Oxygen problems,2000-2020,7
212,44,Sherpas documentary team,8000m South Col, Uwe Gianni Goltz,2008, Switzerland, Exhaustion,2000-2020,2
216,29,,8700m North Summit, Frank Ziebarth,2009, Canada, Hypothermia and lack of oxygen,2000-2020,5
224,42,International,8400m The Balcony, John Delaney,2011, Ireland, Altitude sickness,2000-2020,9
242,33,Zero to 8848 expedition,On descent (south side), Seo Sung-ho,2013, South Korea, Suspected altitude sickness,2000-2020,9
243,35,,South Col Camp, Sajal Khaled (Mohammed Khaled Hossain),2013, Bangladesh, Suspected altitude sickness,2000-2020,9
280,35,Arnold Coster Expeditions,South Col / Camp IV, Eric Arnold,2016, Netherlands, Altitude sickness,2000-2020,7
287,48,Everest Hard Way Slovak Expedition 2017,"Camp IV, in the tent", Vladimír Štrba,2017, Slovakia, Altitude sickness,2000-2020,5
288,54,Expedition Himalaya,Camp IV, Francesco Enrico Marchetti,2017, Australia, Altitude sickness,2000-2020,5
289,27,Arun Treks and Expedition,Balcony, Ravi Kumar,2017, India, Fall into a 200m crevasse,2000-2020,5
293,36,Solo,Camp II, Nobukazu Kuriki,2018, Japan," Hypothermia, had previously reported ""persistent cough and pain"" during attempt",2000-2020,5
294,37,"Himalayan Ascent, Seven Summit Treks",Camp II, Damai Sarki Sherpa,2018, Nepal, Fall into a crevasse,2000-2020,5
203,NA,Asian Trekking,7800m N.E. Ridge, Igor Plyushkin,2006, Russia, Altitude sickness,2000-2020,12
244,NA,,Camp IV (south side) in tent, Unknown climber,2013, Nepal, Suspected altitude sickness,2000-2020,9
281,34,Arnold Coster Expeditions,Near Camp IV, Marisa Elizabeth Strydom,2016, Australia," Snow blindness, stroke",2000-2020,7
282,44,Trekking Camp Nepal,Around Camp III, Subhash Pal,2016, India, Altitude sickness,2000-2020,7
283,58,Trekking Camp Nepal,The Balcony, Paresh Chandra Nath,2016, India, Exposure,2000-2020,7
284,50,Trekking Camp Nepal,The Balcony, Goutam Ghosh,2016, India, Exposure,2000-2020,7
298,55,Pioneer Adventures,Hillary Step, Donald Cash,2019, United States, Altitude sickness,2000-2020,13
116,NA,Indian Expedition,Icefall, Sher Singh,1992, India, Fall,Before 2000,6
117,NA,Japanese Expedition,8350m NE, Manabu Hoshi,1992, Japan, Disappearance (likely accidental death during climb),Before 2000,6
170,NA,Austrian,8500m S.E. Ridge, Peter Ganner,2001, Austria, Fall,2000-2020,5
187,43,Bulgarian,8700m N.E. Ridge, Mariana Prodanova Maslarova,2004, Bulgaria, Exposure,2000-2020,9
299,27,Peak Promotions,near South Col, Nihal Bagwan,2019, India, Exhaustion on descent,2000-2020,13
300,65,Kobler & Partners,Tibet side at 8600m after summiting, Ernst Landgraf,2019, Austria, Exhaustion on descent,2000-2020,13
301,54,Transcent or Arun Treks,Near Camp IV, Anjali S Kulkarni,2019, India, Exhaustion on descent,2000-2020,13
302,52,Dreamers Destination Treks,Near Balcony, Kalpana Dash,2019, India, Exhaustion on descent,2000-2020,13
310,NA,7 Summits Club,near South Col, Wong Dorchi Sherpa,2021, Nepal, ,After 2020,4
158,NA,Russian/French,N.E. Ridge, Sergei Arsentiev,1998, United States, 100m fall,Before 2000,6
159,40,Russian/French,N.E. Ridge, Francys Arsentiev,1998, United States, Exposure and/or cerebral oedema,Before 2000,6
171,NA,Australian,N.E. Ridge, Mark Auricht,2001, Australia, Cerebral oedema,2000-2020,5
172,NA,Russian,8500m N.E. Ridge, Aleksei Nikiforov,2001, Russia," Pre-existing illness exacerbated by freezing conditions, altitude",2000-2020,5
180,NA,International,6000m S.E. Ridge, Karma Gyalzen Sherpa,2003, Nepal, Altitude sickness,2000-2020,4
303,56,360 Expeditions,North Col, Kevin Hynes,2019, Ireland, Altitude sickness,2000-2020,13
304,NA,Himalayan Ecstasy (Ski) Treks,Base Camp following evacuation from Camp III, Dhruba Bista,2019, Nepal, Exhaustion and altitude sickness,2000-2020,13
144,37,South African/British,"S.E. Ridge, Hillary Step", Bruce Herrod,1996, United Kingdom, Rope accident,Before 2000,15
160,NA,British,N.E. Ridge, Mark Jennings,1998, United Kingdom, Exhaustion,Before 2000,6
178,55,Independent,7900m N.E. Ridge, Jan Krzysztof Liszewski,2003, Poland, Fall,2000-2020,4
204,NA,Asian Trekking,8700m N.E. Ridge, Thomas Weber,2006, Germany, Altitude sickness,2000-2020,12
305,44,Summit Climb/ Everest Parivar Expedition Ltd,100 metres below peak, Robin Haynes Fisher,2019, United Kingdom, Exhaustion during descent,2000-2020,13
161,NA,New Zealand,N.E. Ridge, Roger Buick,1998, New Zealand, Exhaustion,Before 2000,6
219,28,International,8600m, Peter Kinloch,2010, United Kingdom, Exhaustion,2000-2020,4
101,37,Polish-led expedition that included four U.S. mountaineers,7200m W ridge, Mirosław Dąsal,1989, Poland, Avalanche,Before 2000,10
102,35,Polish-led expedition that included four U.S. mountaineers,7200m W ridge, Mirosław Gardzielewski,1989, Poland, Avalanche,Before 2000,10
103,51,Polish-led expedition that included four U.S. mountaineers,7200m W ridge, Andrzej Heinrich,1989, Poland, Avalanche,Before 2000,10
104,50,Polish-led expedition that included four U.S. mountaineers,7200m W ridge, Wacław Otręba,1989, Poland, Avalanche,Before 2000,10
112,NA,Japanese solo expedition,8700m NE, Junichi Futagami,1991, Japan, Fall,Before 2000,9
129,53,Australian Expedition,8500m NE, Mike Rheinberger,1994, Australia," 150m fall. He showed signs of exhaustion, dehydration, cerebral oedema, retinal hemorrhages and possible blood clots in his upper legs.",Before 2000,5
177,NA,Indo-Nepal,5900m Icefall, Bhim Bahadur Gurung,2003, Nepal, Fall into a crevasse,2000-2020,4
306,62,Climbing the Seven Summits,South Col, Christopher Jon Kulish,2019, United States, Cardiac event during descent,2000-2020,13
105,30,Polish-led expedition that included four U.S. mountaineers,Lhola camp, Eugeniusz Chrobak,1989, Poland, Avalanche injuries,Before 2000,10
111,NA,Austrian solo expedition,7850m N.E. Ridge, Rüdiger Lang,1991, Germany, Exposure,Before 2000,9
191,NA,India,8700m N.E. Ridge, Sirigereshiva Shankarappa Chaitanya,2005, India, Exposure,2000-2020,7
12,36,Solo Expedition,East Rongbuk Glacier, Maurice Wilson,1934, United Kingdom," Possible exhaustion, exposure or starvation. Body found 1935",Before 2000,1
36,NA,,8500m, Wu Zhuong Yue,1975, China," Exhaustion, fall",Before 2000,3
221,55,International,7010m, Alston Mendonca,2011, India, Heart Break,2000-2020,9
237,37,International Mountain Guides,Camp III on south side, DaRita Sherpa,2013, Nepal, Suspected cardiac arrest,2000-2020,9
238,NA,7 Summits Club Everest expedition,At 100m above ABC on north side (at about 6500m), Sergey Ponomarev,2013, Russia, Suspected cardiac arrest,2000-2020,9
285,85,,Base Camp, Min Bahadur Sherchan,2017, Nepal, Heart Attack,2000-2020,5
131,NA,American Expedition,, Kami Rita,1995, Nepal, Fall,Before 2000,3
150,NA,Malaysian,Lhotse Face, Nima Rinzi,1997, United Kingdom, Fall,Before 2000,12
198,NA,American,N.E. Ridge, Jacques-Hugues Letrange,2006, France, Exhaustion,2000-2020,12
151,NA,Russian,8400m N.E. Ridge, Aleksandr Torochin,1997, Russia, Fall,Before 2000,12
152,NA,Russian,8700m N.E. Ridge, Ivan Plotnikov,1997, Russia, Exhaustion and/or exposure,Before 2000,12
153,NA,Russian,8700m N.E. Ridge, Nikolai Shevtchenko,1997, Russia, Exhaustion and/or exposure,Before 2000,12
154,NA,Russian,N.E. Ridge, Mingma,1997, Nepal, Fall,Before 2000,12
213,NA,Eco Everest Expedition,Icefall, Lhakpa Nuru,2009, Nepal, Avalanche,2000-2020,5
239,22,Chinese expedition team,Between Camp II and Camp III on descent from Camp IV (on south side), Lobsang Sherpa,2013, Nepal, Fall,2000-2020,9
155,NA,Polish,N.E. Ridge, Peter Kowalzik,1997, Germany, Disappearance (likely accidental death during climb),Before 2000,12
163,NA,Ukrainian,N.E. Ridge, Vasyl Kopytko,1999, Ukraine, Unknown cause,Before 2000,6
179,NA,French,5500m S.E. Ridge, Arnaud Saulnier,2003, France, Sickness in tent,2000-2020,4
127,27,Taiwanese,, Shih Fang-Fang 'Norman',1994, Taiwan, Exhaustion and/or exposure,Before 2000,5
134,36,"""Makalu"" Gau Ming-Ho Taiwanese expedition",, Chen Yu-Nan,1996, Taiwan, Injuries from a fall,Before 2000,15
222,82,Nepal,Base Camp, Shailendra Kumar Upadhyaya,2011, Nepal, Altitude sickness,2000-2020,9
28,NA,Mt. Qomolangma expedition,Icefall, Tony Tighe,1972, Australia, Crushed under serac,Before 2000,1
77,NA,Indian Expedition,South Col, Jai Bahugana,1985, India, Exposure,Before 2000,7
78,NA,Indian Expedition,South Col, Ranjeet Singh Bakshi,1985, India, Exposure,Before 2000,7
79,28,Indian Expedition,South Col, Vijay Pal Singh Negi,1985, India, Exposure,Before 2000,7
80,NA,Indian Expedition,South Col, M.U. Bhaskar Rao,1985, India, Exposure,Before 2000,7
29,NA,,S.W. Face, Jangbu,1973, Nepal, Avalanche,Before 2000,8
45,NA,Japanese Alpine Club reconnaissance expedition,Below North Col, Wang Hong-bao,1979, China, Avalanche,Before 2000,10
46,NA,Japanese Alpine Club reconnaissance expedition,Below North Col, Lou Lan,1979, China, Avalanche,Before 2000,10
47,NA,Japanese Alpine Club reconnaissance expedition,Below North Col, Nima Thaxi,1979, China, Avalanche,Before 2000,10
92,NA,,8200m, Lhakpa Sonam,1988, Nepal, Fall,Before 2000,14
93,NA,,8200m, Pasang Temba,1988, Nepal, Fall,Before 2000,14
60,NA,Spanish Expedition,8300m W ridge, Nima Dorje,1982, Nepal, Fall,Before 2000,16
133,NA,South Korean Expedition,Near Summit, Zangbu,1995, Nepal, Fall,Before 2000,3
71,50,Australian-New Zealand Expedition,Near Summit, Jozef Psotka,1984, Czechoslovakia, Fall,Before 2000,12
84,NA,Eiselin Sports Expedition,Below North Col, Dawa Norbu,1986, Nepal, Avalanche,Before 2000,5
94,34,IAMES Bratislava Expedition,8000m S.W. Ridge, Dušan Becík,1988, Czechoslovakia, Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],Before 2000,14
95,34,IAMES Bratislava Expedition,8000m S.W. Ridge, Peter Božík,1988, Czechoslovakia, Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],Before 2000,14
96,26,IAMES Bratislava Expedition,8000m S.W. Ridge, Jaroslav Jaško,1988, Czechoslovakia, Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],Before 2000,14
97,33,IAMES Bratislava Expedition,8000m S.W. Ridge, Jozef Just,1988, Czechoslovakia, Disappearance (likely accidental death during descent after reaching South Summit with Jozef Just rejoining group after he summited Everest solo)[75][76],Before 2000,14
173,NA,Hungarian,7800m N.E. Ridge, Sándor Gárdos,2001, Hungary, Fall,2000-2020,5
19,NA,Japanese Everest Expedition,Icefall, Phu Dorjee Sherpa,1969, Nepal, Fall into a crevasse,Before 2000,1
43,48,Gerhard Schmatz German Expedition or 1979 Swabian expedition,8400m S.E. Ridge, Ray Genet,1979, United States," Exposure, exhaustion",Before 2000,10
44,39,Gerhard Schmatz German Expedition or 1979 Swabian expedition,8400m S.E. Ridge, Hannelore Schmatz,1979, Germany," Exposure, exhaustion",Before 2000,10
88,NA,British Expedition,Base camp, Mangal Singh,1987, Nepal, Avalanche,Before 2000,7
72,35,Mission to recover body of Hannelore Schmatz,8400m S.E. Ridge, Ang Dorje,1984, Nepal, Fall,Before 2000,12
73,36,Mission to recover body of Hannelore Schmatz,8400m S.E. Ridge, Yogendra Bahadur Thapa,1984, Nepal, Fall,Before 2000,12
13,NA,Swiss Expedition,Lhotse Face, Dorje Mingma,1952, Nepal, Falling ice,Before 2000,1
83,NA,Eiselin Sports Expedition,Icefall, Gyalu,1986, Nepal, Crushed under serac,Before 2000,5
124,66,American expedition,6400m, Karl Henize,1993, United States, HAPE,Before 2000,8
76,40,Indian Expedition,7986m, Kiran Inder Kumar,1985, India, Fall,Before 2000,7
110,NA,Japanese Korean expedition,, Ham Sang-hun,1990, South Korea, Disappearance (likely accidental death during climb),Before 2000,4
125,NA,,, Antonio Miranda,1993, Spain, Fall,Before 2000,8
63,NA,Japanese Expedition,Near Summit, Hironobu Kamuro,1983, Japan, Fall,Before 2000,6
64,NA,Japanese Expedition,8600m SE Ridge, Pasang Temba,1983, Nepal, Fall,Before 2000,6
65,NA,Japanese Expedition,Near Summit, Hiroshi Yoshino,1983, Japan, Fall,Before 2000,6
69,28,Australian-New Zealand Expedition,8000m, William (Fred) From,1984, Australia," Fall, while searching for Craig Nottle",Before 2000,12
70,23,Australian-New Zealand Expedition,8000m, Craig Nottle,1984, Australia, Fall,Before 2000,12
132,NA,South Korean Expedition,6900m, Lhakpa Nuru,1995, Nepal, ,Before 2000,3
130,NA,Norwegian Expedition,, Mingma Norbu,1994, Nepal, Avalanche,Before 2000,5
107,NA,,, Rafael Gómez-Menor,1990, Spain, Avalanche,Before 2000,4
108,NA,,, Ang Sona,1990, Nepal, Avalanche,Before 2000,4
109,NA,,, Badri Nath,1990, Nepal, Avalanche,Before 2000,4
225,48,,Lower Icefall, Hiroaki Kino,2011, Japan, Cerebral apoplexy,2000-2020,9
75,NA,Japanese Expedition,Below North Col, Shinichi Ishii,1985, Japan, Avalanche,Before 2000,7
58,33,Bill March Canadian Expedition,Icefall, Blair Griffiths,1982, Canada, Crushed under serac,Before 2000,16
87,44,Japanese Expedition,East Rongbuk Glacier, Masao Yokoyama,1987, Japan, Drowned,Before 2000,7
90,NA,International,7700m, Michel Parmentier,1988, France, Exposure,Before 2000,14
91,NA,,7200m, Narayan Shrestha,1988, Nepal, Avalanche,Before 2000,14
50,NA,Italian Expedition,Lhotse Face, Mario Piana,1980, Italy, Crushed under serac,Before 2000,3
146,NA,French/Belgian/Swiss,7400m Lhotse Face, Yves Bouchon,1996, France, Avalanche,Before 2000,15
147,24,Japanese,7400m Lhotse Face, Lopsang Jangbu,1996, Nepal, Avalanche,Before 2000,15
148,NA,South Korea,7400m Lhotse Face, Dawa,1996, Nepal, Avalanche,Before 2000,15
38,34,Bonington's 1975 Everest expedition,Near Summit, Mick Burke,1975, United Kingdom, Disappearance (likely accidental death during climb),Before 2000,3
59,NA,Spanish Expedition,6770m, Lhakpa Tshering,1982, Nepal, Internal hemorrhage,Before 2000,16
82,52,Eiselin Sports Expedition,7315m, Simon Burkhardt,1986, Switzerland, Avalanche,Before 2000,5
49,NA,Italian Expedition,Icefall, Nawang Kersang,1980, Nepal, Fall,Before 2000,3
156,NA,American,S.E. Ridge, Tenzing Nuru,1997, Nepal, Disappearance (likely accidental death during climb),Before 2000,12
157,NA,South Korean,North Col Flank, Choi Byong-soo,1997, South Korea, Avalanche,Before 2000,12
176,23,International,Hornbein Couloir, Marco Siffredi,2002, France, Snowboarding accident,2000-2020,3
30,NA,French West Ridge Direct expedition,6400m, Gérard Devouassoux,1974, France, Avalanche,Before 2000,6
31,NA,French West Ridge Direct expedition,6400m, Pemba Dorje,1974, Nepal, Avalanche,Before 2000,6
32,NA,French West Ridge Direct expedition,6400m, Lhakpa,1974, Nepal, Avalanche,Before 2000,6
33,NA,French West Ridge Direct expedition,6400m, Nawang Lutuk,1974, Nepal, Avalanche,Before 2000,6
34,NA,French West Ridge Direct expedition,6400m, Nima Wangchu,1974, Nepal, Avalanche,Before 2000,6
35,NA,French West Ridge Direct expedition,6400m, Sanu Wongal,1974, Nepal, Avalanche,Before 2000,6
